time = 0	ro_c = 1	, ro_a = 0
time = 0.178	ro_c = 7.48742e+12	, ro_a = 3.30544e+09
time = 0.18	ro_c = 7.51959e+12	, ro_a = 3.2438e+09
time = 0.182	ro_c = 7.55115e+12	, ro_a = 3.1833e+09
time = 0.184	ro_c = 7.58213e+12	, ro_a = 3.12393e+09
time = 0.186	ro_c = 7.61253e+12	, ro_a = 3.06568e+09
time = 0.188	ro_c = 7.64236e+12	, ro_a = 3.0085e+09
time = 0.19	ro_c = 7.67163e+12	, ro_a = 2.9524e+09
time = 0.192	ro_c = 7.70036e+12	, ro_a = 2.89734e+09
time = 0.194	ro_c = 7.72856e+12	, ro_a = 2.8433e+09
time = 0.196	ro_c = 7.75622e+12	, ro_a = 2.79028e+09
time = 0.198	ro_c = 7.78338e+12	, ro_a = 2.73824e+09
